Pair_id(numberOfIntersections), sx, sy, sz, dx, dy, dz, x, y, z, t, triId
32(2),-30.14, 0.07523, 33.14,36.688, 16.9848, -51.81,-11.2978, 8.79826, 6.53144, 0.51358,730
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,-22.017, 1.00102, 32.4023, 0.106294,492
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,-19.6878, 1.26649, 32.1908, 0.136773,516
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,-19.7056, 1.26447, 32.1924, 0.136541,489
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,-7.68558, 2.63441, 31.1008, 0.293829,505
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,5.6283, 4.15183, 29.8917, 0.468049,160
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,20.4756, 5.84401, 28.5434, 0.662334,218
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,31.1277, 7.05805, 27.576, 0.801723,55
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,36.5616, 7.67737, 27.0826, 0.872829,48
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,44.3482, 8.56483, 26.3754, 0.974722,117
33(10),-30.14, 0.07523, 33.14,76.42, 8.70977, -6.94,46.2799, 8.78499, 26.2, 0.999999,114
35(1),-66.22, 1.057, 61.38,54.6, 12.433, -44.39,-11.6721, 13.4781, 17.0323, 0.999046,727
36(6),-66.22, 1.057, 61.38,39.4, 1.275, -100.32,-50.4541, 1.56719, 21.2369, 0.40015,719
36(6),-66.22, 1.057, 61.38,39.4, 1.275, -100.32,-45.9301, 1.71359, 9.71806, 0.514971,757
36(6),-66.22, 1.057, 61.38,39.4, 1.275, -100.32,-43.0546, 1.80664, 2.39635, 0.587955,803
36(6),-66.22, 1.057, 61.38,39.4, 1.275, -100.32,-34.7659, 2.07487, -18.7082, 0.798327,812
36(6),-66.22, 1.057, 61.38,39.4, 1.275, -100.32,-30.6653, 2.20756, -29.149, 0.902402,1356
36(6),-66.22, 1.057, 61.38,39.4, 1.275, -100.32,-29.8418, 2.23421, -31.246, 0.923305,1353
37(6),-66.22, 1.057, 61.38,71.204, 1.475, -100.12,-37.661, 1.6486, 21.2232, 0.401087,719
37(6),-66.22, 1.057, 61.38,71.204, 1.475, -100.12,-30.6346, 1.79416, 11.3434, 0.499766,739
37(6),-66.22, 1.057, 61.38,71.204, 1.475, -100.12,-30.0476, 1.80632, 10.518, 0.508011,737
37(6),-66.22, 1.057, 61.38,71.204, 1.475, -100.12,-29.7556, 1.81237, 10.1074, 0.512112,735
37(6),-66.22, 1.057, 61.38,71.204, 1.475, -100.12,-21.7096, 1.97904, -1.20612, 0.625111,733
37(6),-66.22, 1.057, 61.38,71.204, 1.475, -100.12,-12.2603, 2.17478, -14.4928, 0.757819,732
38(2),-66.22, 1.057, 61.38,119.06, 19.733, -64.319,14.5504, 14.4439, 17.7459, 0.678401,269
38(2),-66.22, 1.057, 61.38,119.06, 19.733, -64.319,21.9501, 15.6703, 13.7485, 0.740552,277
39(2),-66.22, 1.057, 61.38,72.768, 16.003, -80.05,-25.9222, 9.91922, 17.0495, 0.553785,728
39(2),-66.22, 1.057, 61.38,72.768, 16.003, -80.05,-11.3039, 13.134, 0.968349, 0.754674,730
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-48.9596, 2.24267, 55.9825, 0.153426,434
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-38.3613, 2.97071, 52.6683, 0.247633,418
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-36.8444, 3.07491, 52.1939, 0.261117,398
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-42.9229, 2.65736, 54.0947, 0.207086,422
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-42.9305, 2.65683, 54.0971, 0.207017,429
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-32.9233, 3.34426, 50.9678, 0.29597,405
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-30.9547, 3.47949, 50.3522, 0.313469,386
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,-25.1644, 3.87725, 48.5414, 0.364939,381
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,4.879, 5.94103, 39.1466, 0.631991,170
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,21.4106, 7.07664, 33.9769, 0.778938,215
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,31.1471, 7.74547, 30.9322, 0.865485,54
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,36.5827, 8.11886, 29.2324, 0.913802,49
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,40.5833, 8.39368, 27.9814, 0.949363,45
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,43.4361, 8.58965, 27.0893, 0.974721,43
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,44.3482, 8.6523, 26.8041, 0.982829,116
40(16),-66.22, 1.057, 61.38,112.5, 7.728, -35.18,46.2799, 8.785, 26.2, 0.999999,114
41(2),-23.29, 0.1975, 9.079,37.63, 13.8525, 10.401,-21.6983, 0.783451, 9.51896, 0.0422993,733
41(2),-23.29, 0.1975, 9.079,37.63, 13.8525, 10.401,-11.2914, 4.61449, 12.3954, 0.318859,730
42(1),-23.29, 0.1975, 9.079,11.67, 13.2925, 7.911,-21.7886, 1.90761, 10.0968, 0.128652,736
43(2),-23.29, 0.1975, 9.079,-3.53, 2.1345, -48.019,-25.7935, 1.71129, -24.9762, 0.709203,1358
43(2),-23.29, 0.1975, 9.079,-3.53, 2.1345, -48.019,-26.2539, 1.98969, -31.2393, 0.839631,1353
44(2),-23.29, 0.1975, 9.079,28.274, 2.3345, -47.819,-21.7016, 0.328652, 6.39254, 0.0561798,733
44(2),-23.29, 0.1975, 9.079,28.274, 2.3345, -47.819,-11.3172, 1.18606, -11.1702, 0.423456,729
45(4),-23.29, 0.1975, 9.079,76.13, 20.5925, -12.018,-21.699, 0.62785, 8.82784, 0.0208984,733
45(4),-23.29, 0.1975, 9.079,76.13, 20.5925, -12.018,-11.2971, 3.44148, 7.18578, 0.157532,729
45(4),-23.29, 0.1975, 9.079,76.13, 20.5925, -12.018,5.31493, 7.93489, 4.56338, 0.375738,286
45(4),-23.29, 0.1975, 9.079,76.13, 20.5925, -12.018,34.8145, 15.9143, -0.0934658, 0.763227,292
46(2),-23.29, 0.1975, 9.079,29.838, 16.8625, -27.749,-21.7003, 1.0959, 7.6006, 0.0532777,733
46(2),-23.29, 0.1975, 9.079,29.838, 16.8625, -27.749,-11.3072, 6.96939, -2.06485, 0.401595,729
47(6),-23.29, 0.1975, 9.079,69.57, 8.5875, 17.121,-21.6983, 0.393971, 9.47071, 0.0228787,733
47(6),-23.29, 0.1975, 9.079,69.57, 8.5875, 17.121,-11.2918, 1.67853, 12.0317, 0.172463,729
47(6),-23.29, 0.1975, 9.079,69.57, 8.5875, 17.121,14.5452, 4.86776, 18.3901, 0.543844,268
47(6),-23.29, 0.1975, 9.079,69.57, 8.5875, 17.121,24.3056, 6.07255, 20.7922, 0.68414,270
47(6),-23.29, 0.1975, 9.079,69.57, 8.5875, 17.121,46.2094, 8.77628, 26.1826, 0.998985,41
47(6),-23.29, 0.1975, 9.079,69.57, 8.5875, 17.121,46.2799, 8.78499, 26.2, 0.999999,114
